"Date","Air Temp Max (C)","Air Temp Min (C)","24-hour Total Precip (mm)","Season Total Precip (mm)","% of Precip as Snow","% of Precip as Rain","New Snow (cm)","Season Total Snow (cm)","Snowpack depth (cm)","Snow Water Equivalent (cm)","Remarks"
"1988-10-01","23.865","4.44","0","0",NA,NA,"0","0","0","0",NA
"1988-10-02","22.2","2.775","0","0",NA,NA,"0","0","0","0",NA
"1988-10-03","23.31","4.995","0","0",NA,NA,"0","0","0","0",NA
"1988-10-04","18.87","2.22","0","0",NA,NA,"0","0","0","0",NA
"1988-10-05","18.315","2.775","T","0","100",NA,"0","0","0","0",NA
"1988-10-06","19.98","2.22","0","0",NA,NA,"0","0","0","0",NA
"1988-10-07","19.98","1.665","0","0",NA,NA,"0","0","0","0",NA
"1988-10-08","22.2","1.665","0","0",NA,NA,"0","0","0","0",NA
"1988-10-09","21.645","3.885","0","0",NA,NA,"0","0","0","0",NA
"1988-10-10","21.09","2.775","0","0",NA,NA,"0","0","0","0",NA
"1988-10-11","14.985","1.665","2.032","2.032","100",NA,"0","0","0","0",NA
"1988-10-12","15.54","-1.11","0","2.032",NA,NA,"0","0","0","0",NA
"1988-10-13","12.21","1.665","2.032","4.064","100",NA,"0","0","0","0",NA
"1988-10-14","15.54","-1.665","0","4.064",NA,NA,"0","0","0","0",NA
"1988-10-15","19.425","2.775","0","4.064",NA,NA,"0","0","0","0",NA
"1988-10-16","22.2","4.995","0","4.064",NA,NA,"0","0","0","0",NA
"1988-10-17","23.865","3.885","0","4.064",NA,NA,"0","0","0","0",NA
"1988-10-18","23.31","3.33","0","4.064",NA,NA,"0","0","0","0",NA
"1988-10-19","22.2","1.665","0","4.064",NA,NA,"0","0","0","0",NA
"1988-10-20","21.645","3.885","0","4.064",NA,NA,"0","0","0","0",NA
"1988-10-21","21.09","1.665","0","4.064",NA,NA,"0","0","0","0",NA
"1988-10-22","21.645","0.555","0","4.064",NA,NA,"0","0","0","0",NA
"1988-10-23","21.645","1.11","0","4.064",NA,NA,"0","0","0","0",NA
"1988-10-24","20.535","2.22","0","4.064",NA,NA,"0","0","0","0",NA
"1988-10-25","21.645","2.775","0","4.064",NA,NA,"0","0","0","0",NA
"1988-10-26","19.425","0","0","4.064",NA,NA,"0","0","0","0",NA
