Date,Air Temp Max (C),Air Temp Min (C),24-hour Total Precip (mm),Season Total Precip (mm),% of Precip as Snow,% of Precip as Rain,New Snow (cm),Season Total Snow (cm),Snowpack depth (cm),Snow Water Equivalent (cm),Remarks
10/1/13,15,0,0,0,NA,NA,0,0,0,0,
10/2/13,13,0,0,0,NA,NA,0,0,0,0,
10/3/13,7,-3,0,0,NA,NA,0,0,0,0,
10/4/13,11,-1,0,0,NA,NA,0,0,0,0,
10/5/13,20,-1,0,0,NA,NA,0,0,0,0,
10/6/13,20,1,0,0,NA,NA,0,0,0,0,
10/7/13,16,0,0,0,NA,NA,0,0,0,0,
10/8/13,13,-2,0,0,NA,NA,0,0,0,0,
10/9/13,5,-1,1,1,100,NA,0,0,0,0,
10/10/13,11,-2,0,1,NA,NA,0,0,0,0,
10/11/13,12,-3,0,1,NA,NA,0,0,0,0,
10/12/13,10,-2,0,1,NA,NA,0,0,0,0,
10/13/13,9,-1,1,2,NA,100,0,0,0,0,
10/14/13,14,-2,0,2,NA,NA,0,0,0,0,
10/15/13,11,-2,0,2,NA,NA,0,0,0,0,
10/16/13,14,-3,0,2,NA,NA,0,0,0,0,
10/17/13,17,-2,0,2,NA,NA,0,0,0,0,
10/18/13,20,2,0,2,NA,NA,0,0,0,0,
10/19/13,19,0,0,2,NA,NA,0,0,0,0,
10/20/13,20,0,0,2,NA,NA,0,0,0,0,
10/21/13,19,4,0,2,NA,NA,0,0,0,0,
10/22/13,19,1,0,2,NA,NA,0,0,0,0,
10/23/13,19,2,0,2,NA,NA,0,0,0,0,
10/24/13,17,1,0,2,NA,NA,0,0,0,0,
10/25/13,18,-1,0,2,NA,NA,0,0,0,0,
10/26/13,19,1,0,2,NA,NA,0,0,0,0,
10/27/13,13,-2,7,9,100,NA,0,0,0,0,
10/28/13,1,-3,26,35,100,NA,27,27,27,3,
10/29/13,0,-3,7,42,100,NA,13,40,29,3.9,
10/30/13,8,-7,0,42,NA,NA,1,41,26,3.6,
10/31/13,12,-1,0,42,NA,NA,0,41,18,3.1,
11/1/13,16,-2,0,42,NA,NA,0,41,11.5,2.4,
11/2/13,12,-2,0,42,NA,NA,0,41,2,--,
11/3/13,8,-2,0,42,NA,NA,0,41,0,0,
11/4/13,4,-4,0,42,NA,NA,0,41,0,0,
11/5/13,12,-3,0,42,NA,NA,0,41,0,0,
11/6/13,15,-2,0,42,NA,NA,0,41,0,0,
11/7/13,12,1,0,42,NA,NA,0,41,0,0,
11/8/13,12,0,0,42,NA,NA,0,41,0,0,
11/9/13,14,-2,0,42,NA,NA,0,41,0,0,
11/10/13,15,-2,0,42,NA,NA,0,41,0,0,
11/11/13,15,-1,0,42,NA,NA,0,41,0,0,
11/12/13,14,2,0,42,NA,NA,0,41,0,0,
11/13/13,15,0,0,42,NA,NA,0,41,0,0,
11/14/13,12,-2,0,42,NA,NA,0,41,0,0,
11/15/13,7,-2,0,42,NA,NA,0,41,0,0,
11/16/13,5,-3,0,42,NA,NA,0,41,0,0,
11/17/13,11,-4,0,42,NA,NA,0,41,0,0,
11/18/13,7,-3,0,42,NA,NA,0,41,0,0,
11/19/13,2,-1,17,59,35,65,5.5,46.5,5.5,0.6,
11/20/13,3,-1,25,84,75,25,8,54.5,10.5,1.9,
11/21/13,0,-7,1,85,100,NA,8,62.5,18,4,
11/22/13,1,-7,0,85,NA,NA,T,62.5,15,3.5,
11/23/13,5,-3,0,85,NA,NA,0,62.5,13.5,--,
11/24/13,8,-4,0,85,NA,NA,0,62.5,12.5,--,
11/25/13,13,-4,0,85,NA,NA,0,62.5,11,2.6,
11/26/13,13,-3,0,85,NA,NA,0,62.5,7,1.6,
11/27/13,10,-3,0,85,NA,NA,0,62.5,5,1.1,
11/28/13,9,-3,0,85,NA,NA,0,62.5,4,--,
11/29/13,10,-3,0,85,NA,NA,0,62.5,1,--,
11/30/13,11,-4,0,85,NA,NA,0,62.5,0,0,
12/1/13,15,-3,0,85,NA,NA,0,62.5,0,0,
12/2/13,9,-2,2,87,10,90,0,62.5,0,0,
12/3/13,1,-12,11,98,100,NA,2,64.5,2,--,
12/4/13,-1,-13,1,99,100,NA,7,71.5,9,1.3,
12/5/13,-3,-17,T,99,100,NA,0.5,72,9,1.3,
12/6/13,-5,-13,24,123,100,NA,0,72,9,1.3,
12/7/13,-7,-16,17,140,100,NA,36,108,44,--,
12/8/13,-7,-21,0,140,NA,NA,8,116,50,--,
12/9/13,2,-14,0,140,NA,NA,0,116,49,7.3,
12/10/13,7,-11,0,140,NA,NA,0,116,46,7.3,
12/11/13,8,-7,0,140,NA,NA,0,116,41,6.6,
12/12/13,8,-9,0,140,NA,NA,0,116,38.5,--,
12/13/13,7,-9,0,140,NA,NA,0,116,36,6.6,
12/14/13,13,-6,0,140,NA,NA,0,116,34,--,
12/15/13,18,-3,0,140,NA,NA,0,116,32,--,
12/16/13,17,-2,0,140,NA,NA,0,116,30,6.6,
12/17/13,14,-2,0,140,NA,NA,0,116,28.5,6.3,
12/18/13,12,-2,0,140,NA,NA,0,116,27.5,6.1,
12/19/13,0,-9,1,141,100,NA,2,118,28,6,
12/20/13,5,-10,0,141,NA,NA,0,118,28,6,
12/21/13,9,-3,0,141,NA,NA,0,118,27.5,--,
12/22/13,9,-2,0,141,NA,NA,0,118,26,--,
12/23/13,13,-3,0,141,NA,NA,0,118,25,5.8,
12/24/13,11,-3,0,141,NA,NA,0,118,25,--,
12/25/13,13,-3,0,141,NA,NA,0,118,24.5,--,
12/26/13,15,-3,0,141,NA,NA,0,118,24.5,5.8,
12/27/13,11,-4,0,141,NA,NA,0,118,24,5.8,
12/28/13,7,-6,0,141,NA,NA,0,118,24,--,
12/29/13,11,-5,0,141,NA,NA,0,118,24,--,
12/30/13,12,-3,0,141,NA,NA,0,118,24,5.8,
12/31/13,12,-2,0,141,NA,NA,0,118,24,--,
1/1/14,14,-2,0,141,NA,NA,0,118,23,--,
1/2/14,13,-3,0,141,NA,NA,0,118,22.5,5.5,
1/3/14,12,-3,0,141,NA,NA,0,118,22.5,5.5,
1/4/14,8,-5,0,141,NA,NA,0,118,21.5,--,
1/5/14,10,-5,0,141,NA,NA,0,118,21,--,
1/6/14,9,-5,0,141,NA,NA,0,118,21,5.4,
1/7/14,8,-3,0,141,NA,NA,0,118,20,5.4,
1/8/14,5,-3,0,141,NA,NA,0,118,20,5.3,
1/9/14,4,-3,0,141,NA,NA,0,118,19.5,5.2,
1/10/14,10,-4,0,141,NA,NA,0,118,19,5.2,
1/11/14,3,-4,14,155,92,8,0,118,18.5,--,
1/12/14,4,-8,T,155,100,NA,7,125,26,6.5,
1/13/14,11,-3,0,155,NA,NA,0,125,25.5,--,
1/14/14,12,1,0,155,NA,NA,0,125,25,6.4,
1/15/14,12,-1,0,155,NA,NA,0,125,25,--,
1/16/14,12,0,0,155,NA,NA,0,125,24.5,6.4,
1/17/14,16,-3,0,155,NA,NA,0,125,24,6.3,
1/18/14,15,-3,0,155,NA,NA,0,125,23,--,
1/19/14,13,-4,0,155,NA,NA,0,125,22.5,--,
1/20/14,13,-5,0,155,NA,NA,0,125,22.5,--,
1/21/14,13,-5,0,155,NA,NA,0,125,22,6.4,
1/22/14,15,-4,0,155,NA,NA,0,125,21.5,--,
1/23/14,3,-3,T,155,100,NA,0,125,21.5,--,
1/24/14,10,-3,0,155,NA,NA,T,125,21.5,6.4,
1/25/14,12,-4,0,155,NA,NA,0,125,21.5,--,
1/26/14,12,-4,0,155,NA,NA,0,125,20,--,
1/27/14,12,-4,0,155,NA,NA,0,125,18.5,5.9,
1/28/14,11,2,0,155,NA,NA,0,125,17,--,
1/29/14,6,0,46,201,2,98,0,125,15.5,4.9,
1/30/14,2,-5,11,212,100,NA,12,137,22.5,5.3,
1/31/14,1,-10,1,213,100,NA,2,139,23.5,5.5,
2/1/14,3,-10,0,213,NA,NA,0,139,22,--,
2/2/14,-3,-11,4,217,100,NA,0,139,20,--,
2/3/14,-1,-7,T,217,100,NA,5,144,24.5,5.7,
2/4/14,0,-12,T,217,100,NA,T,144,24,5.7,
2/5/14,2,-12,T,217,100,NA,0,144,23,--,
2/6/14,-1,-6,11,228,90,10,8.5,152.5,30,7.1,
2/7/14,0,-4,34,262,90,10,8.5,161,37,8.2,
2/8/14,1,-1,98,360,20,80,12,173,45,--,
2/9/14,3,0,76,436,50,50,22,195,65,--,
2/10/14,7,-2,0,436,NA,NA,12,207,72.5,22.8,
2/11/14,10,-4,0,436,NA,NA,0,207,68,--,
2/12/14,9,-3,0,436,NA,NA,0,207,62.5,20.7,
2/13/14,5,1,9,445,NA,100,0,207,59.5,21,
2/14/14,11,2,0,445,NA,NA,0,207,58,20.5,
2/15/14,8,-2,6,451,NA,100,0,207,57,--,
2/16/14,6,-6,9,460,90,10,3.5,210.5,60,--,
2/17/14,7,-7,0,460,NA,NA,0,210.5,57.5,--,
2/18/14,10,-6,0,460,NA,NA,0,210.5,56.5,20.1,
2/19/14,5,-3,3,463,90,10,1.5,212,56.5,--,
2/20/14,10,-5,0,463,NA,NA,0,212,56,20.7,
2/21/14,10,-5,0,463,NA,NA,0,212,55.5,20.5,
2/22/14,12,-5,0,463,NA,NA,0,212,54,--,
2/23/14,12,-6,0,463,NA,NA,0,212,51.5,--,
2/24/14,13,-4,0,463,NA,NA,0,212,50.5,19.7,
2/25/14,13,-3,0,463,NA,NA,0,212,49,19.3,
2/26/14,5,-1,22,485,10,90,0,212,48,19.4,
2/27/14,1,-5,27,512,100,NA,26,238,73.5,20.2,
2/28/14,3,-5,23,535,95,5,10,248,77.5,22.7,
3/1/14,3,-3,5,540,30,70,10,258,84,--,
3/2/14,1,-1,12,552,10,90,1.5,259.5,81,--,
3/3/14,1,-1,19,571,30,70,T,259.5,77.5,25,
3/4/14,9,-1,6,577,100,NA,17.5,277,89.5,--,
3/5/14,7,1,15,592,NA,100,0,277,79.5,27.1,
3/6/14,4,-3,17,609,18,82,0,277,71.5,--,
3/7/14,9,-4,0,609,NA,NA,3.5,280.5,74,29.9,
3/8/14,15,-2,0,609,NA,NA,0,280.5,70,--,
3/9/14,10,1,0,609,NA,NA,0,280.5,66,--,
3/10/14,4,-3,16,625,100,NA,15.5,296,78,26.4,
3/11/14,3,-5,0,625,NA,NA,0,296,76,25.7,
3/12/14,8,-4,0,625,NA,NA,0,296,75,--,
3/13/14,15,-4,0,625,NA,NA,0,296,72,24.2,
3/14/14,12,-4,0,625,NA,NA,0,296,68.5,23.4,
3/15/14,16,-1,0,625,NA,NA,0,296,65,--,
3/16/14,15,-2,0,625,NA,NA,0,296,61,--,
3/17/14,10,-2,0,625,NA,NA,0,296,57.5,20.9,
3/18/14,9,-4,0,625,NA,NA,0,296,54,19.7,
3/19/14,11,-5,0,625,NA,NA,0,296,53,--,
3/20/14,12,-2,0,625,NA,NA,0,296,50,19,
3/21/14,11,-3,0,625,NA,NA,0,296,47.5,18.3,
3/22/14,12,-3,0,625,NA,NA,0,296,40,--,
3/23/14,13,-4,0,625,NA,NA,0,296,38,--,
3/24/14,14,-3,0,625,NA,NA,0,296,35.5,13.6,
3/25/14,6,-2,10,635,80,20,6.5,302.5,39,--,
3/26/14,1,-6,24,659,100,NA,16,318.5,46,16.9,
3/27/14,0,-4,16,675,100,NA,10.5,329,55,--,
3/28/14,2,-2,2,677,100,NA,1.5,330.5,52,18.5,
3/29/14,1,-3,75,752,100,NA,50.5,381,94.5,--,
3/30/14,4,-5,7,759,100,NA,5,386,98,--,
3/31/14,0,-7,21,780,100,NA,7,393,103.5,26.3,
4/1/14,-1,-7,14,794,100,NA,27.5,420.5,126,27.5,
4/2/14,3,-9,1,795,100,NA,9.5,430,133,27.4,
4/3/14,5,-9,T,795,100,NA,T,430,111,--,
4/4/14,4,-8,10,805,100,NA,T,430,92,28,
4/5/14,8,-9,0,805,NA,NA,4.5,434.5,95,--,
4/6/14,13,-3,0,805,NA,NA,0,434.5,89.5,--,
4/7/14,17,-1,0,805,NA,NA,0,434.5,84,25.7,
4/8/14,16,-2,0,805,NA,NA,0,434.5,76,--,
4/9/14,15,-1,0,805,NA,NA,0,434.5,67.5,24.2,
4/10/14,17,-2,0,805,NA,NA,0,434.5,59.5,23,
4/11/14,17,-1,0,805,NA,NA,0,434.5,52,20.2,
4/12/14,15,-2,0,805,NA,NA,0,434.5,44.5,--,
4/13/14,13,-1,0,805,NA,NA,0,434.5,37,--,
4/14/14,17,0,0,805,NA,NA,0,434.5,29.5,11.9,
4/15/14,14,0,0,805,NA,NA,0,434.5,22.5,--,
4/16/14,17,-1,0,805,NA,NA,0,434.5,15,5.8,
4/17/14,15,1,0,805,NA,NA,0,434.5,7.5,2.8,
4/18/14,15,0,1,806,NA,100,0,434.5,0,0,
4/19/14,13,-1,0,806,NA,NA,0,434.5,0,0,
4/20/14,16,-2,0,806,NA,NA,0,434.5,0,0,
4/21/14,13,0,0,806,NA,NA,0,434.5,0,0,
4/22/14,3,-3,13,819,100,NA,7.5,442,7.5,0.9,
